ID	Title	Composer	Singer	Language	Mood	Genre
355	Nain Na Jodi	Guru Randhawa	Guru Randhawa	Hindi	Romantic	Pop
356	Raat Kamaal Hai	Guru Randhawa	Guru Randhawa	Hindi	Romantic	Pop
357	Nasha	Karan Aujla	Karan Aujla	Punjabi	Sad	Hip-Hop
358	Yaarian	Yo Yo Honey Singh	Yo Yo Honey Singh	Hindi	Friendship	Hip-Hop
359	Angreji Beat	Yo Yo Honey Singh	Yo Yo Honey Singh	Hindi	Energetic	Hip-Hop
360	Blue Eyes	Yo Yo Honey Singh	Yo Yo Honey Singh	Hindi	Romantic	Pop
361	Breakup Song	Pritam	Arijit Singh	Hindi	Sad	Dance-Pop
362	Baby Ko Bass Pasand Hai	Vishal-Shekhar	Vishal Dadlani	Hindi	Energetic	Dance
363	Balam Pichkari	Vishal-Shekhar	Shalmali Kholgade	Hindi	Happy	Bollywood
364	Galliyan	Ankit Tiwari	Ankit Tiwari	Hindi	Sad	Ballad
365	Lag Ja Gale	Madan Mohan	Lata Mangeshkar	Hindi	Romantic	Classic-Bollywood
366	Ajeeb Dastan Hai Yeh	Shankar-Jaikishan	Lata Mangeshkar	Hindi	Melancholic	Classic-Bollywood
367	Mere Ankhon Ki Palkein	Roshan	Lata Mangeshkar	Hindi	Romantic	Classic-Bollywood
368	Pyar Kiya To Darna Kya	Naushad	Lata Mangeshkar	Hindi	Romantic	Classic-Bollywood
369	Tere Bina Zindagi Se	R.D. Burman	Kishore Kumar	Hindi	Romantic	Classic-Bollywood
370	Roop Tera Mastana	S.D. Burman	Kishore Kumar	Hindi	Romantic	Classic-Bollywood
371	Oh Saathi Re	R.D. Burman	Kishore Kumar	Hindi	Sad	Classic-Bollywood
372	Yeh Kahan Aa Gaye Hum	Shiv-Hari	Lata Mangeshkar	Hindi	Romantic	Classic-Bollywood
373	Main Shayar To Nahin	R.D. Burman	Shailendra Singh	Hindi	Happy	Classic-Bollywood
374	Yeh Sham Mastani	R.D. Burman	Kishore Kumar	Hindi	Happy	Classic-Bollywood
375	Ek Ladki Ko Dekha	Vidhu Vinod Chopra	Kumar Sanu	Hindi	Romantic	Classic-Bollywood
376	Pag Ghungroo Baandh	Laxmikant-Pyarelal	Lata Mangeshkar	Hindi	Energetic	Classic-Bollywood
377	Senorita (Bollywood)	Shantanu Moitra	Sonu Nigam	Hindi	Romantic	Pop
378	Zara Sa	Pritam	K.K.	Hindi	Romantic	Ballad
379	Bachna Ae Haseeno	Usha Uthup	Usha Uthup	Hindi	Happy	Classic-Bollywood
380	Ye Ishq Haaye	Shantanu Moitra	Shilpa Rao	Hindi	Romantic	Indie
381	Slow Motion	Vishal-Shekhar	Nakash Aziz	Hindi	Energetic	Dance
382	Hauli Hauli	Tanishk Bagchi	Neha Kakkar	Hindi	Romantic	Dance-Pop
383	Dheere Dheere Se	Yo Yo Honey Singh	Yo Yo Honey Singh	Hindi	Romantic	Pop
384	Kuch To Bata	Jubin Nautiyal	Jubin Nautiyal	Hindi	Romantic	Pop
385	Tu Aake Dekhle	Sachet Tandon	Sachet Tandon	Hindi	Romantic	Pop
386	Teri Aankhon Mein	Darshan Raval	Darshan Raval	Hindi	Romantic	Pop
387	Aaya Na Tu	Arjun Kanungo	Arjun Kanungo	Hindi	Sad	Pop
388	Rula Deti Hai	Darshan Raval	Darshan Raval	Hindi	Sad	Pop
389	Ik Tera	Maninder Buttar	Maninder Buttar	Punjabi	Romantic	Pop
390	Qismat	Ammy Virk	Ammy Virk	Punjabi	Sad	Ballad
391	Tenu Leke	Udit Narayan	Udit Narayan	Hindi	Romantic	Classic-Bollywood
392	Agar Tu Hota	Jubin Nautiyal	Jubin Nautiyal	Hindi	Sad	Ballad
393	Lut Gaye	Jubin Nautiyal	Jubin Nautiyal	Hindi	Sad	Pop
394	Baarish	Mohit Chauhan	Mohit Chauhan	Hindi	Romantic	Pop
395	Sawaar Loon	Mohit Chauhan	Mohit Chauhan	Hindi	Romantic	Indie
396	Mann Mera	Gajendra Verma	Gajendra Verma	Hindi	Sad	Indie-Pop
397	Emptiness	Gajendra Verma	Gajendra Verma	Hindi	Sad	Indie-Pop
398	Tera Ghata	Gajendra Verma	Gajendra Verma	Hindi	Sad	Indie-Pop
399	Dil Sambhal Ja Zara	Gajendra Verma	Gajendra Verma	Hindi	Melancholic	Indie-Pop
400	Ik Vaari	A.R. Rahman	Arijit Singh	Hindi	Romantic	Ballad
401	Happy	Pharrell Williams	Pharrell Williams	English	Happy	Funk
402	Can't Stop the Feeling	Justin Timberlake	Justin Timberlake	English	Happy	Pop
403	Shake It Off	Taylor Swift	Taylor Swift	English	Happy	Pop
404	Love Story	Taylor Swift	Taylor Swift	English	Romantic	Pop
405	You Belong With Me	Taylor Swift	Taylor Swift	English	Romantic	Pop
406	Blank Space	Taylor Swift	Taylor Swift	English	Dramatic	Pop
407	Bad Blood	Taylor Swift	Taylor Swift	English	Angry	Pop
408	Anti-Hero	Taylor Swift	Taylor Swift	English	Melancholic	Pop
409	Cruel Summer	Taylor Swift	Taylor Swift	English	Energetic	Pop
410	Willow	Taylor Swift	Taylor Swift	English	Dreamy	Indie-Folk
411	August	Taylor Swift	Taylor Swift	English	Nostalgic	Indie-Folk
412	Cardigan	Taylor Swift	Taylor Swift	English	Melancholic	Indie-Folk
413	Exile	Taylor Swift	Taylor Swift	English	Sad	Indie-Folk
414	Lover	Taylor Swift	Taylor Swift	English	Romantic	Pop
415	Enchanted	Taylor Swift	Taylor Swift	English	Romantic	Pop
416	All Too Well	Taylor Swift	Taylor Swift	English	Sad	Indie-Folk
417	Midnight Rain	Taylor Swift	Taylor Swift	English	Dreamy	Pop
418	Lavender Haze	Taylor Swift	Taylor Swift	English	Romantic	Pop
419	Bejeweled	Taylor Swift	Taylor Swift	English	Confident	Pop
420	Karma	Taylor Swift	Taylor Swift	English	Empowering	Pop
421	bad guy	Billie Eilish	Billie Eilish	English	Confident	Alternative
422	Ocean Eyes	Billie Eilish	Billie Eilish	English	Dreamy	Alternative
423	when the party's over	Billie Eilish	Billie Eilish	English	Sad	Alternative
424	everything i wanted	Billie Eilish	Billie Eilish	English	Melancholic	Alternative
425	Therefore I Am	Billie Eilish	Billie Eilish	English	Confident	Alternative
426	Happier Than Ever	Billie Eilish	Billie Eilish	English	Empowering	Alternative
427	Your Power	Billie Eilish	Billie Eilish	English	Thoughtful	Alternative
428	Getting Older	Billie Eilish	Billie Eilish	English	Reflective	Alternative
429	Lovely	Billie Eilish	Billie Eilish	English	Sad	Alternative
430	No Time to Die	Billie Eilish	Billie Eilish	English	Dramatic	Alternative
431	Adore You	Harry Styles	Harry Styles	English	Romantic	Pop
432	Golden	Harry Styles	Harry Styles	English	Happy	Pop
433	Fine Line	Harry Styles	Harry Styles	English	Sad	Pop
434	Matilda	Harry Styles	Harry Styles	English	Emotional	Indie-Folk
435	Music for a Sushi Restaurant	Harry Styles	Harry Styles	English	Fun	Funk
436	Padam Padam	Kylie Minogue	Kylie Minogue	English	Energetic	Dance
437	Running Up That Hill	Kate Bush	Kate Bush	English	Dreamy	Alternative
438	Take On Me	A-Ha	A-Ha	English	Energetic	Pop
439	Don't You Want Me	The Human League	The Human League	English	Energetic	Pop
440	Come On Eileen	Dexys Midnight Runners	Dexys Midnight Runners	English	Happy	Folk-Rock
441	Blue	Eiffel 65	Eiffel 65	English	Nostalgic	EDM
442	Barbie Girl	Aqua	Aqua	English	Playful	Pop
443	Mambo No. 5	Lou Bega	Lou Bega	English	Fun	Pop
444	Smooth	Santana	Santana	English	Romantic	Latin-Rock
445	La Bamba	Ritchie Valens	Ritchie Valens	Spanish	Energetic	Latin
446	Chan Chan	Buena Vista Social Club	Buena Vista Social Club	Spanish	Peaceful	Latin
447	Besame Mucho	Consuelo Velazquez	Various	Spanish	Romantic	Latin
448	Corazon Espinado	Santana	Mana	Spanish	Romantic	Latin-Rock
449	Vivir Mi Vida	Marc Anthony	Marc Anthony	Spanish	Happy	Salsa
450	Hips Don't Lie	Shakira	Shakira	Spanish	Energetic	Latin-Pop
451	Waka Waka	Shakira	Shakira	English	Energetic	Latin-Pop
452	Loca	Shakira	Shakira	Spanish	Energetic	Latin-Pop
453	Chantaje	Shakira	Shakira	Spanish	Romantic	Latin-Pop
454	Me Gusta	Anitta	Anitta	Spanish	Energetic	Latin-Pop
455	Con Calma	Daddy Yankee	Daddy Yankee	Spanish	Energetic	Reggaeton
456	Gasolina	Daddy Yankee	Daddy Yankee	Spanish	Energetic	Reggaeton
457	Danza Kuduro	Don Omar	Don Omar	Spanish	Energetic	Reggaeton
458	Bamboleo	Gipsy Kings	Gipsy Kings	Spanish	Energetic	Latin
459	My Way	Frank Sinatra	Frank Sinatra	English	Reflective	Jazz-Pop
460	Fly Me to the Moon	Bart Howard	Frank Sinatra	English	Romantic	Jazz
461	New York New York	John Kander	Frank Sinatra	English	Motivational	Jazz-Pop
462	Feeling Good	Anthony Newley	Nina Simone	English	Empowering	Jazz
463	La Vie en Rose	Edith Piaf	Edith Piaf	French	Romantic	Chanson
464	Autumn Leaves	Joseph Kosma	Nat King Cole	English	Melancholic	Jazz
465	Blue Bossa	Kenny Dorham	Various	English	Peaceful	Jazz
466	Take Five	Dave Brubeck	Dave Brubeck Quartet	English	Peaceful	Jazz
467	So What	Miles Davis	Miles Davis Quintet	English	Peaceful	Jazz
468	Summertime	George Gershwin	Ella Fitzgerald	English	Peaceful	Jazz
469	Misty	Erroll Garner	Johnny Mathis	English	Romantic	Jazz
470	Lofi Hip Hop Study Beats	Various	Various	English	Peaceful	Lo-Fi
471	Chill Lo-Fi Beats	Various	Various	English	Nostalgic	Lo-Fi
472	Lo-fi Rainfall	Various	Various	English	Peaceful	Lo-Fi
473	Midnight Lofi Vibes	Various	Various	English	Dreamy	Lo-Fi
474	Coffee Shop Beats	Various	Various	English	Peaceful	Lo-Fi
475	Rainy Day Lofi	Various	Various	English	Melancholic	Lo-Fi
476	Study Session Beats	Various	Various	English	Thoughtful	Lo-Fi
477	Sunset Chillhop	Various	Various	English	Peaceful	Lo-Fi
478	Night Drive Beats	Various	Various	English	Nostalgic	Lo-Fi
479	Sleeping Lo-Fi	Various	Various	English	Peaceful	Lo-Fi
480	Tum Ho Mere Kya	Mohit Chauhan	Mohit Chauhan	Hindi	Romantic	Indie
481	Kabira	Pritam	Tochi Raina	Hindi	Peaceful	Indie-Folk
482	Kun Faya Kun	A.R. Rahman	A.R. Rahman	Hindi	Spiritual	Sufi
483	Dama Dam Mast Qalandar	Traditional	Nusrat Fateh Ali Khan	Urdu	Spiritual	Sufi
484	Mast Mast	Nusrat Fateh Ali Khan	Nusrat Fateh Ali Khan	Urdu	Spiritual	Sufi
485	Allah Ke Bande	Ustad Zakir Hussain	Kailash Kher	Hindi	Motivational	Folk-Pop
486	Jugni	Rabbi Shergill	Rabbi Shergill	Punjabi	Spiritual	Folk-Rock
487	Bulla Ki Jaana	Rabbi Shergill	Rabbi Shergill	Punjabi	Spiritual	Folk-Rock
488	Aao Milo Chalen	Saeed Akhtar	Kailash Kher	Hindi	Peaceful	Folk-Pop
489	Ranjha	Sachet Tandon	Sachet Tandon	Hindi	Romantic	Pop
490	Pasoori	Shae Gill	Shae Gill	Punjabi	Romantic	Indie-Pop
491	Kahani Suno 2.0	Kaifi Khalil	Kaifi Khalil	Urdu	Sad	Indie-Pop
492	Tu Jhoom	Naseebo Lal	Naseebo Lal	Urdu	Spiritual	Sufi
493	Afreen Afreen	Nusrat Fateh Ali Khan	Rahat Fateh Ali Khan	Urdu	Romantic	Sufi
494	Laila O Laila	Nusrat Fateh Ali Khan	Nusrat Fateh Ali Khan	Urdu	Energetic	Sufi
495	Tumhare Siwa	Shafqat Amanat Ali	Shafqat Amanat Ali	Urdu	Romantic	Sufi
496	Man Kunto Maula	Nusrat Fateh Ali Khan	Nusrat Fateh Ali Khan	Urdu	Spiritual	Sufi
497	Dekha Ek Khwaab	Shiv-Hari	Lata Mangeshkar	Hindi	Dreamy	Classic-Bollywood
498	Aanewala Pal	Gulzar	Kishore Kumar	Hindi	Melancholic	Classic-Bollywood
499	Zindagi Na Milegi Dobara	Shankar-Ehsaan-Loy	Sonu Nigam	Hindi	Motivational	Indie-Rock
500	Pumped Up Kicks	Foster The People	Foster The People	English	Mysterious	Indie-Rock
501	Electric Feel	MGMT	MGMT	English	Energetic	Indie-Electronic
502	Kids	MGMT	MGMT	English	Nostalgic	Indie-Electronic
503	Time to Pretend	MGMT	MGMT	English	Dreamy	Indie-Electronic
504	Little Dark Age	MGMT	MGMT	English	Mysterious	Synthwave
505	Midnight City	M83	M83	English	Dreamy	Synthwave
506	Intro	The xx	The xx	English	Peaceful	Indie-Electronic
507	Crystalised	The xx	The xx	English	Melancholic	Indie-Electronic
508	Islands	The xx	The xx	English	Dreamy	Indie-Electronic
509	On Hold	The xx	The xx	English	Reflective	Indie-Electronic
510	I Dare You	The xx	The xx	English	Confident	Indie-Electronic
511	Blue Ridge Mountains	Fleet Foxes	Fleet Foxes	English	Peaceful	Indie-Folk
512	White Winter Hymnal	Fleet Foxes	Fleet Foxes	English	Peaceful	Indie-Folk
513	Helplessness Blues	Fleet Foxes	Fleet Foxes	English	Reflective	Indie-Folk
514	Mykonos	Fleet Foxes	Fleet Foxes	English	Hopeful	Indie-Folk
515	Montezuma	Fleet Foxes	Fleet Foxes	English	Melancholic	Indie-Folk
516	The Wolves	Bon Iver	Bon Iver	English	Emotional	Indie-Folk
517	Skinny Love	Bon Iver	Bon Iver	English	Sad	Indie-Folk
518	Holocene	Bon Iver	Bon Iver	English	Melancholic	Indie-Folk
519	Towers	Bon Iver	Bon Iver	English	Peaceful	Indie-Folk
520	Flume	Bon Iver	Bon Iver	English	Dreamy	Indie-Folk
521	Beth Rest	Bon Iver	Bon Iver	English	Comforting	Indie-Folk
522	Stubborn Love	The Lumineers	The Lumineers	English	Hopeful	Indie-Folk
523	Ho Hey	The Lumineers	The Lumineers	English	Happy	Indie-Folk
524	Ophelia	The Lumineers	The Lumineers	English	Romantic	Indie-Folk
525	Cleopatra	The Lumineers	The Lumineers	English	Sad	Indie-Folk
526	Sleep on the Floor	The Lumineers	The Lumineers	English	Hopeful	Indie-Folk
527	Angela	The Lumineers	The Lumineers	English	Nostalgic	Indie-Folk
528	Slow It Down	The Lumineers	The Lumineers	English	Peaceful	Indie-Folk
529	Dog Days Are Over	Florence and The Machine	Florence and The Machine	English	Energetic	Indie-Rock
530	Shake It Out	Florence and The Machine	Florence and The Machine	English	Hopeful	Indie-Rock
531	You've Got the Love	Florence and The Machine	Florence and The Machine	English	Empowering	Indie-Rock
532	Cosmic Love	Florence and The Machine	Florence and The Machine	English	Dreamy	Indie-Rock
533	Breath of Life	Florence and The Machine	Florence and The Machine	English	Dramatic	Indie-Rock
534	Heavy in Your Arms	Florence and The Machine	Florence and The Machine	English	Emotional	Indie-Rock
535	Never Let Me Go	Florence and The Machine	Florence and The Machine	English	Melancholic	Indie-Rock
536	What the Water Gave Me	Florence and The Machine	Florence and The Machine	English	Mysterious	Indie-Rock
537	Spectacle	Childish Gambino	Childish Gambino	English	Confident	Hip-Hop
538	3005	Childish Gambino	Childish Gambino	English	Romantic	Hip-Hop
539	Redbone	Childish Gambino	Childish Gambino	English	Dreamy	Funk
540	This Is America	Childish Gambino	Childish Gambino	English	Dramatic	Hip-Hop
541	Feels Like Summer	Childish Gambino	Childish Gambino	English	Peaceful	R&B
542	V. 3005 Camp	Childish Gambino	Childish Gambino	English	Nostalgic	Hip-Hop
543	Telegraph Ave	Childish Gambino	Childish Gambino	English	Romantic	R&B
544	Heartbeat	Childish Gambino	Childish Gambino	English	Romantic	Indie-Pop
545	Losing My Religion	R.E.M.	R.E.M.	English	Melancholic	Rock
546	Everybody Hurts	R.E.M.	R.E.M.	English	Sad	Rock
547	Nightswimming	R.E.M.	R.E.M.	English	Nostalgic	Rock
548	The One I Love	R.E.M.	R.E.M.	English	Angry	Rock
549	Man on the Moon	R.E.M.	R.E.M.	English	Thoughtful	Rock
550	Disarm	Smashing Pumpkins	Smashing Pumpkins	English	Sad	Rock
551	1979	Smashing Pumpkins	Smashing Pumpkins	English	Nostalgic	Rock
552	Tonight Tonight	Smashing Pumpkins	Smashing Pumpkins	English	Dramatic	Rock
553	Zero	Smashing Pumpkins	Smashing Pumpkins	English	Aggressive	Rock
554	Cherub Rock	Smashing Pumpkins	Smashing Pumpkins	English	Energetic	Rock
555	Bullet With Butterfly Wings	Smashing Pumpkins	Smashing Pumpkins	English	Angry	Rock
556	Heart-Shaped Box	Nirvana	Nirvana	English	Aggressive	Grunge
557	Come As You Are	Nirvana	Nirvana	English	Melancholic	Grunge
558	About a Girl	Nirvana	Nirvana	English	Sad	Grunge
559	In Bloom	Nirvana	Nirvana	English	Energetic	Grunge
560	Lithium	Nirvana	Nirvana	English	Melancholic	Grunge
561	All Apologies	Nirvana	Nirvana	English	Reflective	Grunge
562	Rape Me	Nirvana	Nirvana	English	Aggressive	Grunge
563	Jeremy	Pearl Jam	Pearl Jam	English	Dramatic	Rock
564	Even Flow	Pearl Jam	Pearl Jam	English	Energetic	Rock
565	Better Man	Pearl Jam	Pearl Jam	English	Sad	Rock
566	Black	Pearl Jam	Pearl Jam	English	Melancholic	Rock
567	Alive	Pearl Jam	Pearl Jam	English	Motivational	Rock
568	Numb	Linkin Park	Linkin Park	English	Sad	Nu-Metal
569	In the End	Linkin Park	Linkin Park	English	Sad	Nu-Metal
570	Crawling	Linkin Park	Linkin Park	English	Emotional	Nu-Metal
571	Faint	Linkin Park	Linkin Park	English	Aggressive	Nu-Metal
572	Somewhere I Belong	Linkin Park	Linkin Park	English	Hopeful	Nu-Metal
573	Breaking the Habit	Linkin Park	Linkin Park	English	Emotional	Nu-Metal
574	New Divide	Linkin Park	Linkin Park	English	Dramatic	Nu-Metal
575	Leave Out All the Rest	Linkin Park	Linkin Park	English	Emotional	Nu-Metal
576	One Step Closer	Linkin Park	Linkin Park	English	Aggressive	Nu-Metal
577	Waiting for the End	Linkin Park	Linkin Park	English	Hopeful	Nu-Metal
578	Given Up	Linkin Park	Linkin Park	English	Energetic	Nu-Metal
579	Shadow of the Day	Linkin Park	Linkin Park	English	Sad	Nu-Metal
580	New York State of Mind	Jay-Z	Jay-Z	English	Thoughtful	Hip-Hop
581	Empire State of Mind	Jay-Z	Jay-Z	English	Motivational	Hip-Hop
582	Run This Town	Jay-Z	Rihanna	English	Confident	Hip-Hop
583	99 Problems	Jay-Z	Jay-Z	English	Aggressive	Hip-Hop
584	Izzo	Jay-Z	Jay-Z	English	Confident	Hip-Hop
585	HUMBLE	Kendrick Lamar	Kendrick Lamar	English	Aggressive	Hip-Hop
586	Alright	Kendrick Lamar	Kendrick Lamar	English	Motivational	Hip-Hop
587	Swimming Pools	Kendrick Lamar	Kendrick Lamar	English	Thoughtful	Hip-Hop
588	Poetic Justice	Kendrick Lamar	Kendrick Lamar	English	Romantic	Hip-Hop
589	Money Trees	Kendrick Lamar	Kendrick Lamar	English	Nostalgic	Hip-Hop
590	Backseat Freestyle	Kendrick Lamar	Kendrick Lamar	English	Energetic	Hip-Hop
591	Good Kid	Kendrick Lamar	Kendrick Lamar	English	Nostalgic	Hip-Hop
592	Bitch Don't Kill My Vibe	Kendrick Lamar	Kendrick Lamar	English	Confident	Hip-Hop
593	A.D.H.D	Kendrick Lamar	Kendrick Lamar	English	Anxious	Hip-Hop
594	Sicko Mode	Travis Scott	Travis Scott	English	Energetic	Hip-Hop
595	Goosebumps	Travis Scott	Travis Scott	English	Energetic	Hip-Hop
596	Antidote	Travis Scott	Travis Scott	English	Confident	Hip-Hop
597	Highest in the Room	Travis Scott	Travis Scott	English	Dreamy	Hip-Hop
598	Escape Plan	Travis Scott	Travis Scott	English	Confident	Hip-Hop
599	Life is Good	Future	Drake	English	Happy	Hip-Hop
600	God's Plan	Drake	Drake	English	Grateful	Hip-Hop
601	Hotline Bling	Drake	Drake	English	Sad	Hip-Hop
602	One Dance	Drake	Kyla	English	Romantic	Afrobeats
603	Passionfruit	Drake	Drake	English	Romantic	R&B
604	Controlla	Drake	Drake	English	Romantic	R&B
605	Started From the Bottom	Drake	Drake	English	Motivational	Hip-Hop
606	HYFR	Drake	Drake	English	Confident	Hip-Hop
607	Take Care	Drake	Rihanna	English	Sad	R&B
608	Marvins Room	Drake	Drake	English	Sad	R&B
609	Know Yourself	Drake	Drake	English	Confident	Hip-Hop
610	Umbrella	Rihanna	Rihanna	English	Empowering	Pop
611	We Found Love	Rihanna	Calvin Harris	English	Energetic	EDM
612	Diamonds	Rihanna	Rihanna	English	Empowering	Pop
613	Only Girl	Rihanna	Rihanna	English	Energetic	Dance
614	Where Have You Been	Rihanna	Rihanna	English	Energetic	Dance
615	Love the Way You Lie	Eminem	Rihanna	English	Dramatic	Hip-Hop
616	Disturbia	Rihanna	Rihanna	English	Mysterious	Pop
617	Shut Up and Drive	Rihanna	Rihanna	English	Energetic	Pop
618	Needed Me	Rihanna	Rihanna	English	Confident	R&B
619	Kiss It Better	Rihanna	Rihanna	English	Sensual	R&B
620	Desperado	Rihanna	Rihanna	English	Sad	R&B
621	Pour It Up	Rihanna	Rihanna	English	Confident	R&B
622	Work	Rihanna	Rihanna	English	Energetic	Reggae
623	Lose Yourself	Eminem	Eminem	English	Motivational	Hip-Hop
624	Without Me	Eminem	Eminem	English	Energetic	Hip-Hop
625	Slim Shady	Eminem	Eminem	English	Fun	Hip-Hop
626	Rap God	Eminem	Eminem	English	Aggressive	Hip-Hop
627	Not Afraid	Eminem	Eminem	English	Motivational	Hip-Hop
628	Beautiful	Eminem	Eminem	English	Emotional	Hip-Hop
629	Stan	Eminem	Dido	English	Dramatic	Hip-Hop
630	When I'm Gone	Eminem	Eminem	English	Emotional	Hip-Hop
631	Mockingbird	Eminem	Eminem	English	Emotional	Hip-Hop
632	Space Bound	Eminem	Eminem	English	Romantic	Hip-Hop
633	Guts Over Fear	Eminem	Eminem	English	Motivational	Hip-Hop
634	Like Home	Eminem	Eminem	English	Emotional	Hip-Hop
635	River	Eminem	Ed Sheeran	English	Sad	Hip-Hop
636	Thinking Bout You	Frank Ocean	Frank Ocean	English	Romantic	R&B
637	Novacane	Frank Ocean	Frank Ocean	English	Dreamy	R&B
638	Pyramids	Frank Ocean	Frank Ocean	English	Mysterious	R&B
639	Bad Religion	Frank Ocean	Frank Ocean	English	Sad	R&B
640	White Ferrari	Frank Ocean	Frank Ocean	English	Dreamy	R&B
641	Ivy	Frank Ocean	Frank Ocean	English	Nostalgic	R&B
642	Nights	Frank Ocean	Frank Ocean	English	Melancholic	R&B
643	Godspeed	Frank Ocean	Frank Ocean	English	Emotional	R&B
644	Self Control	Frank Ocean	Frank Ocean	English	Melancholic	R&B
645	Thinkin Bout You	Frank Ocean	Frank Ocean	English	Romantic	R&B
646	Blonde	Frank Ocean	Frank Ocean	English	Nostalgic	R&B
647	Pink Matter	Frank Ocean	Frank Ocean	English	Dreamy	R&B
648	Sweet Life	Frank Ocean	Frank Ocean	English	Happy	R&B
649	Super Rich Kids	Frank Ocean	Frank Ocean	English	Nostalgic	R&B
650	Lost	Frank Ocean	Frank Ocean	English	Sad	R&B
651	Nights Instrumental	Frank Ocean	Frank Ocean	English	Peaceful	R&B
652	Nights Part 2	Frank Ocean	Frank Ocean	English	Dreamy	R&B
653	Seigfried	Frank Ocean	Frank Ocean	English	Reflective	R&B
654	Nikes	Frank Ocean	Frank Ocean	English	Dreamy	R&B
655	Rushes	Frank Ocean	Frank Ocean	English	Peaceful	R&B
656	Pretty Sweet	Frank Ocean	Frank Ocean	English	Whimsical	R&B
657	Biking	Frank Ocean	Frank Ocean	English	Peaceful	R&B
658	Provider	Frank Ocean	Frank Ocean	English	Romantic	R&B
659	Chanel	Frank Ocean	Frank Ocean	English	Confident	R&B
660	Lens	Frank Ocean	Frank Ocean	English	Peaceful	R&B
661	Slide	Calvin Harris	Calvin Harris	English	Happy	Dance
662	Summer	Calvin Harris	Calvin Harris	English	Happy	EDM
663	Feel So Close	Calvin Harris	Calvin Harris	English	Happy	EDM
664	Sweet Nothing	Calvin Harris	Florence Welch	English	Hopeful	EDM
665	Under Control	Calvin Harris	Calvin Harris	English	Energetic	EDM
666	Outside	Calvin Harris	Ellie Goulding	English	Sad	EDM
667	Thinking About You	Calvin Harris	Calvin Harris	English	Romantic	EDM
668	Blame	Calvin Harris	Calvin Harris	English	Energetic	EDM
669	How Deep Is Your Love	Calvin Harris	Calvin Harris	English	Romantic	EDM
670	Pray to God	Calvin Harris	Calvin Harris	English	Hopeful	EDM
671	Rollin	Calvin Harris	Calvin Harris	English	Energetic	EDM
672	Burning	Calvin Harris	Calvin Harris	English	Energetic	EDM
673	Slow Acid	Calvin Harris	Calvin Harris	English	Mysterious	EDM
674	Bounce	Calvin Harris	Calvin Harris	English	Energetic	EDM
675	Flashback	Calvin Harris	Calvin Harris	English	Nostalgic	EDM
676	Ready for the Weekend	Calvin Harris	Calvin Harris	English	Happy	EDM
677	Stars Come Out	Calvin Harris	Calvin Harris	English	Energetic	EDM
678	Love Me Now	Calvin Harris	Calvin Harris	English	Energetic	EDM
679	One Kiss	Calvin Harris	Dua Lipa	English	Romantic	Dance
680	Don't Leave Me Alone	David Guetta	Anne-Marie	English	Sad	EDM
681	Titanium	David Guetta	Sia	English	Empowering	EDM
682	Without You	David Guetta	Usher	English	Sad	EDM
683	Hey Mama	David Guetta	Nicki Minaj	English	Energetic	EDM
684	Turn Me On	David Guetta	Nicki Minaj	English	Energetic	EDM
685	Night of Your Life	David Guetta	Jennifer Hudson	English	Hopeful	EDM
686	Sexy Bitch	David Guetta	Akon	English	Energetic	Dance
687	Memories	David Guetta	Kid Cudi	English	Nostalgic	EDM
688	Gettin Over You	David Guetta	Fergie	English	Happy	EDM
689	Bad	David Guetta	Showtek	English	Energetic	EDM
690	Shot Me Down	David Guetta	Skylar Grey	English	Sad	EDM
691	Dangerous	David Guetta	Sam Martin	English	Dramatic	EDM
692	Happy Ending	Mika	Mika	English	Hopeful	Pop
693	Grace Kelly	Mika	Mika	English	Playful	Pop
694	Relax Take It Easy	Mika	Mika	English	Fun	Pop
695	Big Girl You Are Beautiful	Mika	Mika	English	Empowering	Pop
696	Any Other World	Mika	Mika	English	Sad	Pop
697	Lollipop	Mika	Mika	English	Whimsical	Pop
698	Rain	Mika	Mika	English	Hopeful	Pop
699	Love Today	Mika	Mika	English	Happy	Pop
700	We Are Golden	Mika	Mika	English	Empowering	Pop
701	Good Guys	Mika	Mika	English	Comforting	Pop
702	Tiny Love	Mika	Mika	English	Romantic	Pop
703	Talking to Strangers	Mika	Mika	English	Fun	Pop
704	Popular Song	Mika	Ariana Grande	English	Playful	Pop
705	Last Party	Mika	Mika	English	Nostalgic	Pop
706	Elle Me Dit	Mika	Mika	French	Energetic	Pop
707	Paloma	Mika	Mika	French	Happy	Pop
708	Origin of Love	Mika	Mika	English	Romantic	Pop
709	My Interpretation	Mika	Mika	English	Reflective	Pop
710	Stardust	Mika	Mika	English	Dreamy	Pop
711	Ice Cream	Mika	Mika	English	Happy	Pop
712	Underwater	Mika	Mika	English	Peaceful	Pop
713	Hurts	Mika	Mika	English	Sad	Pop
714	Ordinary Man	Mika	Mika	English	Sad	Pop
715	Kick Ass	Mika	Mika	English	Fun	Pop
716	Killing Time	Mika	Mika	English	Fun	Pop
717	Touches You	Mika	Mika	English	Sensual	Pop
718	Blame It On the Girls	Mika	Mika	English	Playful	Pop
719	We Are Young	fun.	fun.	English	Hopeful	Indie-Pop
720	Carry On	fun.	fun.	English	Motivational	Indie-Pop
721	Some Nights	fun.	fun.	English	Reflective	Indie-Pop
722	Why Am I the One	fun.	fun.	English	Sad	Indie-Pop
